Category,Headline,Link,Summary
US,Southern California man arrested for hit-and-run crash that killed his passenger,https://news.yahoo.com/news/southern-california-man-arrested-hit-063704049.html,"Police arrested a Southern California man who allegedly crashed his car while driving drunk and ran from the scene – leaving his passenger to die. The Rialto Police Department said it was around 8:17 p.m. on Friday when a call came into the station reporting a single vehicle collision. About 3 minutes later, officers arrived […]"
US,"Connecticut cannibal killer given conditional release after 2011 murder in which he ate victim's brain, eye",https://news.yahoo.com/news/connecticut-cannibal-killer-given-conditional-063510657.html,An institutionalized man who confessed to the 2011 killing of a homeless man in Connecticut in which he also ate the victim's body parts was granted a conditional release.
US,Driver arrested after crashing into pole during Simi Valley pursuit,https://news.yahoo.com/news/driver-arrested-crashing-pole-during-061339632.html,"A suspect driver was arrested after crashing during a pursuit in Simi Valley. On Feb. 14, officers were patrolling near Sequoia Avenue and Coastal Oak Drive at around 11 p.m. when they noticed a driver run a stop sign. As police attempted to pull the driver over, the suspect backed up before speeding away, leading […]"
Celebrity,"Savannah Chrisley says she 'lost some deals' over Trump support, conservative beliefs",https://news.yahoo.com/news/entertainment/savannah-chrisley-says-she-lost-055925217.html,Savannah Chrisley shared she lost lucrative business deals after revealing her conservative political beliefs and support for President Donald Trump.
US,Here's how federal workers are responding to the DOGE productivity-tracking email,https://news.yahoo.com/news/heres-federal-workers-responding-doge-044919936.html,Federal workers across agencies told Business Insider they were frustrated and upset by the DOGE productivity email sent Saturday.
US,Suspect in series of church vandalisms arrested in Los Angeles County,https://news.yahoo.com/news/suspect-series-church-vandalisms-arrested-044140798.html,"Police arrested a man suspected of vandalizing multiple religious institutions in Los Angeles County. The Baldwin Park Police Department said in an Instagram post that it was early morning on Saturday when officers received reports of vandalism at St. John the Baptist Catholic Church. Officers responded and, after a “brief bicycle pursuit,” apprehended the suspect, […]"
US,"Pomona gang members arrested for alleged extortion, kidnapping, police say",https://news.yahoo.com/news/pomona-gang-members-arrested-alleged-044113755.html,"Two gang members were arrested for alleged extortion and kidnapping while targeting a local business owner in Pomona, police said. The suspects were identified as Alexis Hernandez, 24, and Gustavo Maldonado, 36, both Pomona residents. On Jan. 13, an investigation began when a business owner told Pomona police that gang members had been demanding money […]"
Politics,"Press secretary Karoline Leavitt talks landing historic White House role, dispels Trump misconceptions",https://news.yahoo.com/news/press-secretary-karoline-leavitt-talks-035243214.html,"White House press secretary Karoline Leavitt sits down with Fox News host Lara Trump for her first sit-down television interview since landing her position in the Trump administration on ""My View with Lara Trump."""
Celebrity,"Meghan Markle can reprise 'Suits' role on LA spinoff anytime, ‘under any circumstances,' show’s creator says",https://news.yahoo.com/news/entertainment/meghan-markle-reprise-suits-role-032336633.html,"Meghan Markle can reprise her role on ""Suits"" ""anytime"" and ""under any circumstances,"" the creator of the show and its new spinoff, ""Suits LA,"" said of the duchess."
Lifestyle,‘I’m still here.’ The 2025 Dolphins Cancer Challenge showcases growth but also power of connection,https://news.yahoo.com/news/m-still-2025-dolphins-cancer-031657992.html,"“It gives me a lot of energy to come out here because then I see other people that have gone through things like me and I like to share,” said Lynette Hickenbottom, a two-time cancer survivor."
US,L.A. hospital needs help identifying injured man,https://news.yahoo.com/news/l-hospital-needs-help-identifying-030839436.html,"A hospital needs help identifying an injured patient who has been hospitalized for over a month. On Jan. 19, the male patient was found in the San Gabriel area. He was transported to the Los Angeles General Medical Center where he remains hospitalized. He did not have any personal belongings to help staff identify him. […]"
Celebrity,Chelsea Handler says she 'dodged a bullet' when former NY Gov. Andrew Cuomo ghosted her,https://news.yahoo.com/news/entertainment/chelsea-handler-says-she-dodged-030726698.html,"Chelsea Handler recalled being ghosted by her one crush, former New York Gov. Andrew Cuomo, in 2020. The comedian said she ""dodged a bullet."""
Sports,"As Hurricanes fall to Virginia Tech, rumors swirl around Miami’s next men’s basketball coach",https://news.yahoo.com/news/sports/article/hurricanes-fall-virginia-tech-rumors-025910149.html,"Multiple well-placed UM sources confirmed to the Miami Herald that Duke assistant Jai Lucas is the top choice, but noted Lucas’ hiring likely wouldn’t happen until after No. 3 Duke’s season ends."
Sports,"Cote: Must-win MLS season a long climb for Messi, Inter Miami, as opening 2-2 home draw shows | Opinion",https://news.yahoo.com/news/sports/article/cote-must-win-mls-season-025643034.html,What looms as a championship-or-bust MLS season for Lionel Messi and Inter Miami began with a difficult regular-season opener Saturday night as Miami salvaged a 2-2 home draw to New York City.
World,"Israel delays Palestinian prisoner release after Hamas' 'humiliating' treatment of hostages, Netanyahu says",https://news.yahoo.com/news/israel-delays-palestinian-prisoner-release-024911923.html,"The seventh hostage-prisoner exchange between Israel and Hamas has been delayed due to the terrorists' ""humiliating"" treatment of hostages, according to Prime Minister Netanyahu."
Science,SpaceX launches 22 Starlink internet satellites from California,https://news.yahoo.com/news/tech/spacex-launches-22-starlink-internet-015224079.html,SpaceX launched another set of its Starlink internet satellites from southern California on Saturday evening (Feb 22).
Politics,"President Trump and Justin Trudeau hold call about Ukraine, border security after weeks of tension",https://news.yahoo.com/news/president-trump-justin-trudeau-hold-014811129.html,The White House reported that President Donald Trump and Canadian Prime Minister Justin Trudeau spoke during a call over the weekend and discussed hockey.
Sports,Panthers’ go-ahead goal overturned due to goaltender interference in loss to Kraken,https://news.yahoo.com/news/sports/article/panthers-ahead-goal-overturned-due-013743234.html,The loss snapped Florida’s five-gave win streak on home ice.
Politics,Top Biden advisor says party 'lost its mind' after debate: 'It melted down',https://news.yahoo.com/news/top-biden-advisor-says-party-013422281.html,"Former President Joe Biden's senior advisor said the Democratic Party ""melted down"" after Biden's poor performance in the pivotal CNN Presidential Debate"
US,Shooting at Air Force base gate leaves airman dead after off-base pursuit,https://news.yahoo.com/news/shooting-air-force-gate-leaves-013416544.html,"A shooting near Kirtland Air Force Base in Albuquerque left one airman dead and another hospitalized early Saturday morning, the Air Force said."
Politics,New FBI leader Kash Patel tapped to run ATF as acting director,https://news.yahoo.com/news/fbi-leader-kash-patel-tapped-011249742.html,"Newly-sworn in FBI Director Kash Patel will be tapped to run the Bureau of Alcohol, Tobacco, Firearms and Explosives as acting director, according to sources."
Celebrity,Sam Altman welcomes baby in birth announcement on X: 'I have never felt such love',https://news.yahoo.com/news/lifestyle/sam-altman-welcomes-baby-birth-005449362.html,"Sam Altman in a Saturday post on X announced the baby was born ""early"" and would be ""in the NICU for awhile."""
US,19-year-old suspect arrested after pursuit crash in L.A.,https://news.yahoo.com/news/19-old-suspect-arrested-pursuit-005214423.html,"A suspect was arrested after leading police on a pursuit before crashing in Central Los Angeles. Los Angeles police identified the suspect as Kwentin Monk, 19. On Feb. 20, officers with LAPD’s Gang Enforcement Detail were assisting a burglary task force when they became involved in a pursuit of a possible burglary suspect. The suspect, […]"
Politics,'What did you do last week?' Read the email DOGE sent to federal workers.,https://news.yahoo.com/news/did-last-week-read-email-223902993.html,The White House DOGE office on Saturday ordered all federal workers be sent an email asking them to list the tasks they'd completed over the week.
US,"Eaton Fire victims unite to recover, preserve historic pieces of Altadena",https://news.yahoo.com/news/eaton-fire-victims-unite-recover-004406744.html,"A month after the deadly Eaton Fire burned thousands of homes and buildings to the ground, Altadena’s tight-knit community is working together to save pieces of the town’s history. Hundreds of community members and volunteers have joined a mission to comb through piles of ash and rubble, hoping to identify and save historic tiles. Organizers […]"
Sports,Messi’s two assists help Inter Miami salvage 2-2 tie vs. NYCFC in dramatic MLS opener,https://news.yahoo.com/news/sports/article/messi-two-assists-help-inter-001831245.html,"Inter Miami kicked off its sixth season on Saturday, and first under new coach Javier Mascherano."
Politics,Furious Trump Sics Musk on Boeing to Deliver New Air Force One Jets,https://news.yahoo.com/news/furious-trump-sics-musk-boeing-000606027.html,"A furious President Donald Trump has deputized Elon Musk to badger Boeing into delivering two new Air Force One jets—a project that has been been derailed by PR nightmares and technical issues, according to a report. The president has urged Musk to take drastic measures, such as rolling back security clearance standards for those working on the presidential planes, The New York Times reported earlier this week. According to several inside sources, Trump is reportedly livid about having to fly in"
Politics,Trump tells Musk: 'Get more aggressive.' Then came the DOGE emails.,https://news.yahoo.com/news/trump-tells-musk-more-aggressive-200216474.html,President Donald Trump praised Elon Musk's efforts to reduce the size of the federal bureaucracy and then called on him to do even more.
Politics,Fox News Softballs Stephen Miller After Going Nuclear on CNN,https://news.yahoo.com/news/fox-news-softballs-stephen-miller-235827598.html,"White House aide Stephen Miller appeared more calm and collected during a Friday night interview with Fox News after going nuclear on CNN earlier in the week. Miller got himself so worked up on Tuesday chatting with CNN anchor Brianna Keilar that she literally had to tell him to “calm down” as he railed against critics of Elon Musk’s DOGE amid ongoing federal cuts. However, Miller seemed for at ease during his interview with Sean Hannity, who tossed him softball after softball while reassuring h"
Lifestyle,"My dad and I took my 94-year-old grandfather on a road trip. He died 6 months later, and I'm glad we have the memories.",https://news.yahoo.com/news/lifestyle/dad-took-94-old-grandfather-235601127.html,"We drove from New England down to Florida. My grandfather died six months after the trip, but the memories will always be with me."
